P1: CRC8=0x6F
P2: CRC8=0xF6
P3: CRC8=0x10
P4: CRC8=0x6A
P5: CRC8=0x0B
P6: CRC8=0x4D
P7: CRC8=0x66
P8: CRC8=0xE8
P9: CRC8=0x8A
P10: CRC8=0x6B
P11: CRC8=0xE2
P12: CRC8=0xB2
P13: CRC8=0x8C
P14: CRC8=0x1D
P15: CRC8=0xD2
P16: CRC8=0x2F
P17: CRC8=0x01
P18: CRC8=0x80
P19: CRC8=0x88
P20: CRC8=0x1B
P21: CRC8=0x02
P22: CRC8=0x51
P23: CRC8=0x8E
P24: CRC8=0xE5
P25: CRC8=0xAE
P26: CRC8=0x6B
P27: CRC8=0xB1
P28: CRC8=0x08
P29: CRC8=0xA8
P30: CRC8=0x76
P31: CRC8=0x40
P32: CRC8=0x89
P33: CRC8=0x6C
P34: CRC8=0x41
P35: CRC8=0xEC
P36: CRC8=0xE2
P37: CRC8=0xAE
P38: CRC8=0xEA
P39: CRC8=0x39
P40: CRC8=0xEA
P41: CRC8=0xF0
P42: CRC8=0x91
P43: CRC8=0x07
P44: CRC8=0x67
P45: CRC8=0x4B
P46: CRC8=0xCE
P47: CRC8=0x8B
P48: CRC8=0x93
P49: CRC8=0x44
P50: CRC8=0x0E
P51: CRC8=0x1D
P52: CRC8=0x48
P53: CRC8=0x12
P54: CRC8=0x5D
P55: CRC8=0x67
P56: CRC8=0xE7
P57: CRC8=0xFC
P58: CRC8=0x4B
P59: CRC8=0xA1
P60: CRC8=0xF8
P61: CRC8=0x4B
P62: CRC8=0x4E
P63: CRC8=0x50
P64: CRC8=0xDC
P65: CRC8=0x35
P66: CRC8=0x8E
P67: CRC8=0x63
P68: CRC8=0xFF
P69: CRC8=0x23
P70: CRC8=0xF2
P71: CRC8=0x30
P72: CRC8=0xA0
P73: CRC8=0xDC
P74: CRC8=0xB3
P75: CRC8=0x38
P76: CRC8=0x42
P77: CRC8=0xAB
P78: CRC8=0xF8
P79: CRC8=0xCB
P80: CRC8=0x3D
P81: CRC8=0x8F
P82: CRC8=0xB2
P83: CRC8=0x8A
P84: CRC8=0xA5
P85: CRC8=0xD1
P86: CRC8=0x4C
P87: CRC8=0xCD
P88: CRC8=0x43
P89: CRC8=0xD7
P90: CRC8=0xEC
P91: CRC8=0x1D
P92: CRC8=0x3B
P93: CRC8=0xA0
P94: CRC8=0xB4
P95: CRC8=0x02
P96: CRC8=0xE5
P97: CRC8=0xC1
P98: CRC8=0x50
P99: CRC8=0x05
P100: CRC8=0xA1
=== PART 2 ===
CHECK: 0x38
PACKETS: 100
